Species,Family,Sitename,Continent,Site_No,Cont_No,Species_No,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Photo,Tleaf,CO2S,PARi,LMA,Perc_N,Perc_P,Narea,Parea,Photomass,Jmaxmass,Vcmaxmass,Nmass,Pmass,NPratio,Plim_status
Acmena graveolens,Myrtaceae,Cape Tribulation Crane,Australia,10,10,59,43.9,75.4,0.6,1,0.8,0.14,9.9,29.4,387,2000,94.877,1.75,0.117,1.66,0.11,104.7,794.2,462.9,17.54,1.17,15,Mod. P
Alstonia scholaris,Apocynaceae,Cape Tribulation Crane,Australia,10,23,5,53,82.3,2.18,10,6.7,0.92,11.5,29.2,385,1999,114.554,1.84,0.06,2.11,0.07,100.2,718.8,462.8,18.45,0.6,30.6,Low P
Argyrodendron perulatum,Malvaceae,Cape Tribulation Crane,Australia,10,39,51,62,127.9,1.47,3.9,4.8,0.6,13.6,30,388,1800,177.56,1.48,0.074,2.63,0.13,76.7,720.5,349.2,14.83,0.74,20,Low P
Castanospermum australe,Fabaceae,Cape Tribulation Crane,Australia,10,81,36,48.6,98.5,1.15,2.1,2.4,0.39,8.9,29.6,390,1899,114.579,2.4,0.114,2.75,0.13,77.9,859.9,424.4,23.99,1.14,21,Mod. P
Elaeocarpus angustifolius,Elaeocarpaceae,Cape Tribulation Crane,Australia,10,146,33,40.6,98.9,1.85,3.7,5.5,0.75,7.7,28.3,393,1933,110.2265,2.16,0.109,2.32,0.12,70,897.3,368.5,21.62,1.09,19.8,Mod. P
Emmenosperma cunninghamii,Rhamnaceae,Cape Tribulation Crane,Australia,10,148,71,62.7,94.1,0.32,6.8,3.8,0.74,16.3,29.6,380,1999,98.8745,1.89,0.024,1.87,0.02,164.3,952.1,633.7,18.93,0.24,78.5,Low P
Endiandra microneura,Lauraceae,Cape Tribulation Crane,Australia,10,149,44,44.2,79.1,0.41,2.6,2.3,0.41,10,30.3,397,1800,125.5875,1.74,0.09,2.19,0.11,79.4,630.2,351.7,17.42,0.9,19.4,Low P
Ganophyllum falcatum,Sapindaceae,Cape Tribulation Crane,Australia,10,191,76,42,117.4,1.8,1.1,1.9,0.28,10,27.7,387,2000,124.7935,2.05,0.074,2.56,0.09,80,941,336.8,20.51,0.74,27.8,Low P
Litsea leefeana,Lauraceae,Cape Tribulation Crane,Australia,10,255,44,44.6,78.1,1.06,4.1,3.4,0.67,9.4,30.2,397,1800,132.525,1.39,0.082,1.85,0.11,71,589.4,336.4,13.94,0.82,16.9,Low P
Myristica globosa,Myristicaceae,Cape Tribulation Crane,Australia,10,291,58,46.8,82.6,1.31,1.7,1.1,0.22,7.4,31.1,394,1801,111.17,2.02,0.157,2.24,0.17,66.4,742.9,420.6,20.19,1.57,12.9,Mod. P
Rockinghamia angustifolia,Euphorbiaceae,Cape Tribulation Crane,Australia,10,378,35,20.4,42.6,0.86,0.7,0.7,0.14,4.5,29.9,399,1800,60.96,1.56,0.06,0.95,0.04,73.5,698.5,334.8,15.56,0.6,25.8,Low P
Syzygium graveolens,Myrtaceae,Cape Tribulation Crane,Australia,10,421,59,42.5,82.8,1.15,2,2.2,0.39,8.9,30.1,396,1800,141.7135131,1.53,0.084,2.16,0.12,63.1,584.6,299.8,15.28,0.84,18.3,Low P
Syzygium sayeri,Myrtaceae,Cape Tribulation Crane,Australia,10,424,59,49.6,101.3,0.72,2.1,2.1,0.34,12.1,28.7,384,1933,124.0593333,1.52,0.06,1.88,0.07,97.4,816.5,399.7,15.18,0.6,25.4,Low P
Viticipremna queenslandica,Lamiaceae,Cape Tribulation Crane,Australia,10,466,42,60.8,164.4,2.07,3.8,6,0.86,14.1,27.2,382,2000,79.622,2.61,0.065,2.07,0.05,176.5,2064.2,763.6,26.07,0.65,40,Low P
Eschweilera coriacea,Lecythidaceae,Caxiuana,S_Amer,13,154,45,24,50.5,0.4,1,1.1,0.21,5.4,31.3,393,1999,95.835,2.02,0.108,2.01,0.09,56.3,527,250.6,20.18,1.08,18.6,Mod. P
Eschweilera grandiflora,Lecythidaceae,Caxiuana,S_Amer,13,155,45,29.3,66.6,0.34,0.9,1.1,0.2,6.5,31.3,392,2001,100.06,1.4,0.117,1.4,0.12,64.5,665.2,293,14.02,1.17,12,Mod. P
Licania membranacea,Chrysobalanaceae,Caxiuana,S_Amer,13,247,23,23.8,53,0.83,0.9,1.2,0.24,6.8,32.1,391,1999,230.51,1.39,0.059,3.19,0.14,29.6,229.7,103.3,13.85,0.59,23.6,Low P
Manilkara bidentata ssp. amazonica,Sapotaceae,Caxiuana,S_Amer,13,266,77,34.9,65.2,0.85,1.9,2.6,0.34,6.4,32.7,392,1999,145.33,1.51,0.067,2.19,0.1,44,448.7,240.1,15.08,0.67,22.4,Low P
Pouteria anomala,Sapotaceae,Caxiuana,S_Amer,13,343,77,22.1,52,0.56,1.1,1.8,0.3,5.6,31.3,392,2000,92.09,1.95,0.079,1.9,0.08,61.1,564.3,239.7,19.53,0.79,24.8,Low P
Protium tenuifolium,Burseraceae,Caxiuana,S_Amer,13,361,15,31.7,56,0.36,0.8,0.8,0.14,7.7,30.9,390,2000,95.36666667,1.51,0.087,1.45,0.08,81,587,332.5,15.14,0.87,17.5,Low P
Swartzia racemosa,Fabaceae,Caxiuana,S_Amer,13,416,36,42.7,73.5,0.31,4,3.9,0.69,9.3,31.7,388,1999,125.8033333,2.78,0.053,3.46,0.07,74.2,584.6,339.5,27.8,0.53,52.4,Low P
Guazuma crinita,Malvaceae,Cuzco_03,S_Amer,15,204,51,61.8,108.4,-0.83,1.3,1.1,0.19,16.1,29.2,379,1799,112,2.11,0.246,2.37,0.28,143.8,967.8,551.9,21.12,2.46,8.6,Mod. P
Poulsenia armata,Moraceae,Cuzco_03,S_Amer,15,336,56,43.3,96.5,1.1,4.6,4.5,0.82,10.6,30,378,1799,118.9,1.34,0.101,1.59,0.12,89.5,811.6,364.5,13.4,1.01,13.3,Mod. P
Pouteria torta subsp. glabra,Sapotaceae,Cuzco_03,S_Amer,15,350,77,53.7,81.9,0.19,3.9,2.4,0.46,11.2,30.5,377,1800,138.3,1.45,0.081,2.01,0.11,81,591.9,388.1,14.53,0.81,17.9,Low P
Pseudolmedia laevis,Moraceae,Cuzco_03,S_Amer,15,365,56,40.8,77.6,-0.63,3.3,NA,0.34,10.5,30,379,1800,94.5,1.57,0.086,1.48,0.08,111.1,820.9,431.9,15.68,0.86,18.2,Low P
Swartzia sp.,Fabaceae,Cuzco_03,S_Amer,15,417,36,15.7,37.2,0.36,1.5,1.7,0.33,4.7,28.8,389,1800,76.4,2.85,0.102,2.18,0.08,61.3,487,205.3,28.53,1.02,28,Mod. P
Tapura sp.,Dichapetalaceae,Cuzco_03,S_Amer,15,432,29,42.3,75.7,0.88,1.7,1.2,0.23,9.7,30,381,1800,121.7,0.82,0.015,1,0.02,79.9,622,347.7,8.19,0.15,54.6,Low P
Terminalia oblonga,Combretaceae,Cuzco_03,S_Amer,15,438,26,39.4,84.8,1.17,4,3.5,0.66,8.1,30.1,383,1801,129.6,1.74,0.109,2.26,0.14,62.5,654.5,303.6,17.44,1.09,16,Mod. P
Trichilia sp.,Meliaceae,Cuzco_03,S_Amer,15,448,53,25.1,56.7,1.03,0.4,0.6,0.1,5.5,30.3,388,1799,103.85,1.68,0.123,1.73,0.12,52.7,545.6,241.4,16.79,1.23,13.7,Mod. P
Corymbia latifolia,Myrtaceae,Daly River,Australia,16,122,59,50.4,101.9,0.7,3.4,3.6,0.52,13.1,34.3,375,2000,196.3,0.6,0.035,1.18,0.07,66.9,519.3,256.9,6.05,0.35,17.2,Low P
Eucalyptus tetradonta,Myrtaceae,Daly River,Australia,16,172,59,73.7,124.1,0.8,8.7,6.4,0.97,18.6,33.2,363,2000,199.65,0.82,0.056,1.63,0.11,93.3,621.6,369,8.15,0.56,14.5,Low P
Cochlospermum planchoni,Bixaceae,Dano,Africa,17,107,11,71.5,143.7,-0.19,9.4,8.4,1.28,20.9,34.7,384,1999,93.52333333,1.55,0.114,1.44,0.11,223.4,1536,764.7,15.54,1.14,13.7,Mod. P
Daniellia oliveri,Fabaceae,Dano,Africa,17,132,36,68.8,136.8,-0.52,11.2,10.2,1.55,20,35.1,386,2000,109.1922222,1.53,0.104,1.67,0.11,183.3,1252.7,629.8,15.26,1.04,14.7,Mod. P
Lannea acida,Anacardiaceae,Dano,Africa,17,238,2,57.7,134.8,0.32,3.8,3.9,0.6,15.5,35,379,2000,93.482,1.46,0.092,1.35,0.08,166,1441.9,617.4,14.63,0.92,15.9,Mod. P
Terminalia laxiflora,Combretaceae,Dano,Africa,17,436,26,83.3,182.7,0.01,7.3,8.3,1.17,23,35,377,2000,169.2184211,1.29,0.104,2.17,0.17,135.7,1079.9,492,12.88,1.04,12.3,Mod. P
Terminalia macroptera,Combretaceae,Dano,Africa,17,437,26,70.3,139.6,-0.86,6.9,7.1,1.11,20.8,34.9,372,2000,166.8488889,1.27,0.09,2.13,0.15,124.4,836.4,421.2,12.74,0.9,14.1,Low P
Vitellaria paradoxa,Sapotaceae,Dano,Africa,17,464,77,56.6,120.1,0.35,6.5,6.2,0.96,14.2,35,397,2000,121.2783333,1.36,0.087,1.65,0.11,116.7,990,466.9,13.59,0.87,15.6,Low P
Acacia oblongifolia,Fabaceae,Davies_park,Australia,18,4,36,64.9,118.2,0.53,1.8,1.9,0.31,13.1,26.9,393,1800,192.475,1.78,0.031,3.29,0.05,67.9,613.9,337,17.77,0.31,56.9,Low P
Banksia serrata,Proteaceae,Davies_park,Australia,18,46,70,81.4,121.2,0.41,5,4.5,0.74,17.7,27,387,1799,207.2,0.65,0.025,1.35,0.05,85.3,584.9,393,6.49,0.25,25.6,Low P
Persoonia levis,Proteaceae,Davies_park,Australia,18,322,70,54.4,85.9,0.79,4.9,3.9,0.69,11.5,27.8,382,1800,157.125,0.75,0.031,1.18,0.05,73.3,546.6,346.4,7.55,0.31,24.5,Low P
Syncarpia glomifera,Myrtaceae,Davies_park,Australia,18,419,59,75,118.5,1.88,4.2,3.7,0.63,14.9,27.6,393,1800,170.82,0.83,0.039,1.43,0.07,87.1,693.8,439.1,8.35,0.39,21.6,Low P
Eucalyptus clarksoniana,Myrtaceae,Davis Creek,Australia,19,161,59,69.1,83.9,-0.52,8.2,3.1,0.61,14.4,30,381,2000,170.5595714,1.05,0.045,1.8,0.07,84.2,492.1,405,10.54,0.45,23.7,Low P
Eucalyptus tereticornis,Myrtaceae,Davis Creek,Australia,19,171,59,87.1,114,-1.19,7.3,5,0.54,20.3,30.2,373,2000,175.6802222,1.38,0.067,2.41,0.12,115.7,649,495.9,13.83,0.67,20.7,Low P
Lophostemon suaveolens,Myrtaceae,Davis Creek,Australia,19,256,59,70.5,119.2,0.49,4.7,3.3,0.6,15.2,29.7,381,2000,159.0774444,1.25,0.037,1.97,0.06,95.6,749.5,443.2,12.46,0.37,34,Low P
Corymbia terminalis,Myrtaceae,Dry Creek,Australia,20,123,59,63,131.5,1.37,3.9,4.7,0.58,13,33.7,378,2000,209.55,0.68,0.044,1.43,0.09,62.3,627.7,300.6,6.81,0.44,15.6,Low P
Eucalyptus tetradonta,Myrtaceae,Dry Creek,Australia,20,172,59,56.6,101.1,1.27,4.4,3.5,0.56,12.3,32,377,2000,250.85,0.72,0.045,1.8,0.11,49,402.9,225.8,7.24,0.45,16.3,Low P
Corymbia intermedia,Myrtaceae,Edmond Kennedy Park,Australia,24,121,59,65.9,140.1,2,2.8,2.6,0.49,15.9,34.7,379,1999,167.488,1.26,0.039,2.11,0.07,94.9,836.5,393.3,12.6,0.39,32,Low P
Eucalyptus intermedia,Myrtaceae,Edmond Kennedy Park,Australia,24,165,59,62.3,108.9,0.79,6.9,4,0.77,15.2,34.9,380,2000,125.0694,1.41,0.043,1.77,0.06,121.9,870.7,498.3,14.09,0.43,33.1,Low P
Eucalyptus pellita,Myrtaceae,Edmond Kennedy Park,Australia,24,167,59,79.4,152.5,0.79,9.6,6.5,0.99,19.8,34.4,374,2000,205.7742222,1.21,0.05,2.47,0.1,96.3,740.9,386.1,12.05,0.5,24,Low P
Miconia sp.,Melastomataceae,Esperanza_01,S_Amer,26,276,52,49.8,117,-0.06,0.8,1.8,0.17,7.5,27.8,389,1799,114.1,1.58,0.15,1.8,0.17,65.5,1025.4,436,15.81,1.5,10.5,Mod. P
Morella pavonis,Myricaceae,Esperanza_01,S_Amer,26,287,57,76.8,172.9,0.63,1.5,3.3,0.31,10.7,27.2,386,1800,114.6,2,0.097,2.29,0.11,93,1508.4,670.2,19.95,0.97,20.6,Mod. P
Myrsine youngii,Primulaceae,Esperanza_01,S_Amer,26,294,69,67.1,140.1,0.33,4.9,5.6,0.67,11.4,24,384,1800,127.5,1.93,0.132,2.46,0.17,89.3,1098.9,526.1,19.28,1.32,14.6,Mod. P
Persea buchtienii,Lauraceae,Esperanza_01,S_Amer,26,321,44,59,76.9,0.35,13.2,7.9,1.08,6.5,29.3,391,1800,173.8,1.57,0.12,2.74,0.21,37.6,442.2,339.6,15.74,1.2,13.1,Mod. P
Eucalyptus tereticornis,Myrtaceae,EucFACE,Australia,27,171,59,98.7,166.9,0.4,6.6,6.5,1,25,27.2,387,1800,181.0125,1.62,0.077,2.91,0.14,138.3,921.9,545.1,16.19,0.77,21.1,Low P
Abuta rufescens,Menispermaceae,FLONA-Km67,S_Amer,28,1,54,45.7,88,1.38,3.6,4.3,0.68,9.8,30,361,1801,151.7,1.64,0.088,2.49,0.13,64.7,580.2,301.4,16.4,0.88,18.6,Low P
Copaifera duckei,Fabaceae,FLONA-Km67,S_Amer,28,117,36,52.8,89.9,0.14,5,3.7,0.51,10,30.3,361,1785,93.8,2.6,0.138,2.44,0.13,106.3,958.1,562.6,25.96,1.38,18.8,Mod. P
Manilkara huberi,Sapotaceae,FLONA-Km67,S_Amer,28,267,77,77.2,107.9,0.12,11.2,5.4,0.86,14.6,30.2,360,1731,181.2428571,1.45,0.068,2.64,0.12,80.6,595.3,426.1,14.54,0.68,21.5,Low P
Prinostemma af. aspera,Hippocrateaceae,FLONA-Km67,S_Amer,28,356,39,37.3,67.7,1.12,2,2,0.3,4.7,31.1,360,1722,143.1666667,1.87,0.067,2.69,0.09,32.8,472.7,260.9,18.73,0.67,28,Low P
Tetrapterys sp.,Malpighiaceae,FLONA-Km67,S_Amer,28,442,50,54.2,87,-0.03,4.2,3.1,0.43,9.1,30.2,360,1632,109.3,2.23,0.127,2.36,0.12,83.6,796.1,496,22.28,1.27,17.6,Mod. P
Abuta rufescens,Menispermaceae,FLONA-Km83,S_Amer,29,1,54,52.9,113,0.28,2.6,3.6,0.57,13.3,30,360,1801,180.5,1.4,0.061,2.53,0.11,73.7,625.9,292.9,14,0.61,23,Low P
Lecythis lurida,Lecythidaceae,FLONA-Km83,S_Amer,29,241,45,29.7,54.3,0.15,2.2,2.1,0.34,7.1,30.1,361,1801,159.1,1.77,0.058,2.82,0.09,44.6,341.1,186.7,17.7,0.58,30.5,Low P
Micropholis sp.,Sapotaceae,FLONA-Km83,S_Amer,29,281,77,41.3,81.5,0.08,2.1,2.3,0.37,9.1,30.4,360,1749,135.775,1.69,0.069,2.29,0.09,66.7,600.2,304.1,16.88,0.69,24.5,Low P
Tachigali myrmecophila,Fabaceae,FLONA-Km83,S_Amer,29,428,36,67.4,101.5,0.12,7.3,6.4,0.96,16.7,30,360,1800,101.6,3.4,0.104,3.45,0.11,164.4,999.4,663.1,34,1.04,32.7,Mod. P
Alchornea sp.,Euphorbiaceae,San_Lorenzo_crane,S_Amer,30,16,35,35.9,57,0.16,3.2,2.8,0.51,9.3,29.4,367,1000,35.25,2.37,0.172,0.84,0.06,263.8,1616.2,1017.2,23.7,1.72,13.8,Mod. P
Apeiba membranacea,Malvaceae,San_Lorenzo_crane,S_Amer,30,37,51,49.2,86.2,0.37,3.4,3.1,0.5,14.5,31.2,376,1467,91.56,1.89,0.105,1.7,0.09,158,942,537.9,18.91,1.05,18.1,Mod. P
Aspidosperma cruenta,Apocyanaceae,San_Lorenzo_crane,S_Amer,30,40,4,42.7,85.4,1.4,2,2.3,0.34,11.2,32.5,355,1699,133.02,1.86,0.084,2.48,0.11,84.2,642.1,320.8,18.64,0.84,22.2,Low P
Aspidosperma megalocarpon,Apocynaceae,San_Lorenzo_crane,S_Amer,30,42,5,37.6,74.1,2.11,1.1,1.8,0.23,6.6,28.1,364,999,140.87,1.71,0.06,2.4,0.08,47.1,526.1,266.8,17.1,0.6,28.4,Low P
Brosimum utile,Moraceae,San_Lorenzo_crane,S_Amer,30,60,56,45.1,71.4,0.88,5,4.5,0.73,10.8,29.9,365,1351,107.84,1.59,0.109,1.72,0.12,99.7,662.4,418.3,15.9,1.09,14.5,Mod. P
Cespedesia spathulata,Ochnaceae,San_Lorenzo_crane,S_Amer,30,90,61,43.7,89.7,0.88,1.7,2.9,0.37,8.4,28.2,376,1001,78.54,1.88,0.083,1.48,0.07,106.5,1142.3,556.3,18.75,0.83,22.7,Low P
Guatteria dumetorum,Annonaceae,San_Lorenzo_crane,S_Amer,30,202,3,27.6,61.4,0.04,2,3.5,0.51,8.9,28.2,377,1002,89.18,2.79,0.177,2.49,0.16,100.2,688.3,309.5,27.9,1.77,15.8,Mod. P
Poulsenia armata,Moraceae,San_Lorenzo_crane,S_Amer,30,336,56,52.1,125,2.79,2.3,4.6,0.56,10,28.1,376,999,101.72,2.17,0.162,2.21,0.16,97.8,1229.1,512,21.7,1.62,13.4,Mod. P
Pourouma bicolor,Urticaceae,San_Lorenzo_crane,S_Amer,30,337,84,51.9,99.5,-0.25,4.9,5.7,0.58,16,27.7,366,1000,67.986,2.6,0.127,1.77,0.09,235.6,1464.2,763.5,26.04,1.27,20.4,Mod. P
Sapium glandulosum,Euphorbiaceae,San_Lorenzo_crane,S_Amer,30,383,35,70.2,123.2,-0.57,3.7,5,0.62,16.4,28.4,386,1000,130.93,2.2,0.163,2.87,0.21,125.3,940.9,536.2,21.95,1.63,13.5,Mod. P
Simarouba amara,Simaroubaceae,San_Lorenzo_crane,S_Amer,30,396,78,45.9,90.1,1.04,4.1,4,0.61,11.3,33.9,356,1703,152.475,1.74,0.065,2.66,0.1,73.8,591.1,300.8,17.43,0.65,26.8,Low P
Tapirira guianensis,Anacardiaceae,San_Lorenzo_crane,S_Amer,30,430,2,23.2,48.8,0.7,1,1.5,0.25,6.2,28.2,374,1000,106.45,1.47,0.07,1.56,0.07,58.1,458.3,217.7,14.65,0.7,21,Low P
Tocoyena pittieri,Rubiaceae,San_Lorenzo_crane,S_Amer,30,444,73,47.7,74.9,0.26,2.4,2.4,0.38,10.8,27.8,379,1002,99.12,2.18,0.094,2.16,0.09,109,755.9,481.1,21.8,0.94,23.1,Mod. P
unknown,unknown,San_Lorenzo_crane,S_Amer,30,457,83,35.7,64.5,0.06,1.4,1.8,0.28,9.1,27.7,375,1000,137.795,2.07,0.108,2.84,0.15,65.7,468.2,259.2,20.65,1.08,19,Mod. P
Vantanea depleta,Humiriaceae,San_Lorenzo_crane,S_Amer,30,458,40,59.2,105.7,1.02,1.9,2.5,0.36,14.4,27.3,374,1001,83.98,2.84,0.088,2.39,0.07,171.5,1258.6,704.6,28.4,0.88,32.3,Low P
Virola multiflora,Myristicaceae,San_Lorenzo_crane,S_Amer,30,459,58,46.3,92.9,1.03,1.7,2.4,0.35,11.1,27.7,377,998,127.5,1.97,0.078,2.51,0.1,87.1,728.6,363,19.7,0.78,25.2,Low P
Xylopia macrantha,Annonaceae,San_Lorenzo_crane,S_Amer,30,474,3,34.7,59.7,1.19,1.7,1.9,0.32,7.3,29,376,1001,68.13,2.48,0.085,1.69,0.06,107,876.5,509.5,24.8,0.85,29.2,Low P
Cajanus reticulatus,Fabaceae,Forty Mile Scrub,Australia,31,68,36,60.8,98.6,-0.28,8.8,4.3,0.76,13,35.1,383,1999,66.12014286,1.6,0.149,1.06,0.1,196.8,1491.6,919.4,16.01,1.49,10.7,Mod. P
Ehretia membranifolia,Boraginaceae,Forty Mile Scrub,Australia,31,144,13,50.1,128.9,0.15,0.8,1.3,0.18,11,31.2,387,1944,97.343,1.94,0.125,1.9,0.12,113.4,1324.4,514.5,19.43,1.25,15.6,Mod. P
Maytenus cunninghamii,Celastraceae,Forty Mile Scrub,Australia,31,272,21,30.9,75.3,0.81,1.4,10.1,0.28,7.3,35.4,390,2000,168.2072,0.92,0.072,1.55,0.12,43.6,447.9,183.8,9.19,0.72,12.8,Low P
Notelaea microcarpa,Oleaceae,Forty Mile Scrub,Australia,31,302,63,53.6,114.3,0.44,2,2.5,0.36,11.5,30.9,387,1944,176.9277778,1.53,0.102,2.68,0.18,65,646.2,302.9,15.31,1.02,15.1,Mod. P
Strychnos psilosperma,Loganiaceae,Forty Mile Scrub,Australia,31,413,49,54.9,119.3,0.38,1.4,1.4,0.23,12.6,31,390,2000,177.9023333,1.24,0.076,2.2,0.13,70.8,670.6,308.4,12.4,0.76,16.2,Low P
Eucalyptus dunnii,Myrtaceae,HFE_plantation,Australia,32,164,59,99.6,148.9,0.09,7.3,5.8,0.89,24.1,29.2,384,1800,134.425,1.92,0.118,2.58,0.16,179.3,1107.5,741.2,19.21,1.18,16.4,Mod. P
Eucalyptus saligna,Myrtaceae,HFE_plantation,Australia,32,169,59,101.3,172.6,0.13,8.8,9.8,1.53,23.9,28,379,1799,147.1666667,2.13,0.135,3.12,0.19,162.4,1172.9,688.2,21.32,1.35,15.8,Mod. P
Liquidambar styraciflua,Altingiaceae,HFE_plantation,Australia,32,252,1,78.9,142,0.47,4.1,4.5,0.72,18.6,27.6,387,1799,111.9,1.77,0.183,1.98,0.21,166,1268.7,704.8,17.73,1.83,9.7,Mod. P
Acacia senegal,Fabaceae,Hombori,Africa,33,6,36,61.6,119.1,1.4,5.6,5.1,0.8,16.3,35,394,2000,37.5125,4.28,0.248,1.65,0.16,435.2,3174.4,1643.1,42.83,2.48,17.3,Mod. P
